9780679756767,0679756760,When I was Puerto Rican,,Esmeralda Santiago,Biography & Autobiography,http://books.google.com/books/content?id=OK8ZV3VwYwEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Magic, sexual tension, high comedy, and intense drama move through an enchanted yet harsh autobiography, in the story of a young girl who leaves rural Puerto Rico for New York's tenements and a chance for success. Reprint. 35,000 first printing.",1994.0,4.01,274.0,8289.0,"rgb(231, 210, 132)"
9780679759256,0679759255,When She was Good,,Philip Roth,Fiction,http://books.google.com/books/content?id=Qsw1HwaanPcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In this funny and chilling novel, the setting is a small town in the 1940s Midwest, and the subject is the heart of a wounded and ferociously moralistic young woman, one of those implacable American moralists whose ""goodness"" is a terrible disease. When she was still a child, Lucy Nelson had her alcoholic failure of a father thrown in jail. Ever since then she has been trying to reform the men around her, even if that ultimately means destroying herself in the process. With his unerring portraits of Lucy and her hapless, childlike husband, Roy, Roth has created an uncompromising work of fictional realism, a vision of provincial American piety, yearning, and discontent that is at once pitiless and compassionate.",1995.0,3.53,320.0,1639.0,"rgb(138, 152, 45)"
9780679760238,0679760237,In Pharaoh's Army,Memories of the Lost War,Tobias Wolff,Biography & Autobiography,http://books.google.com/books/content?id=bVbK-dkQiT8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The author recalls his experiences during the Vietnam war, reminiscing about his service in the Mekong Delta, his feelings about the miltary life, and the impact of the Vietnam experience on his life",1995.0,4.08,240.0,2329.0,"rgb(203, 196, 130)"
9780679761044,0679761047,Snow Country,,Yasunari Kawabata,Fiction,http://books.google.com/books/content?id=2_iSExrgqy8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Follows the story of a tragic affair between a wealthy dilettante and a mountain geisha who gives herself to him without illusions or regrets, in a tale of wasted love by the Nobel Prize-winning Japanese author. Reprint. 10,000 first printing.",1996.0,3.68,175.0,12085.0,"rgb(197, 192, 187)"
9780679761051,0679761055,Beauty and Sadness,,Yasunari Kawabata,Fiction,http://books.google.com/books/content?id=XgjKkQX4DIoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A destructive love affair between a married writer and a teenage girl that continues to haunt both of them more than twenty years after their last embrace.,1996.0,3.86,206.0,4649.0,"rgb(9, 12, 15)"
9780679761785,0679761780,Blues for Mister Charlie,A Play,James Baldwin,Drama,http://books.google.com/books/content?id=vd2JDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,A drama focusing on the murder of a black youth by a white man in a Southern town and the racism and violent emotions it engenders.,1995.0,4.12,144.0,1131.0,"rgb(11, 15, 19)"
9780679762096,0679762094,Aman,The Story of a Somali Girl,Virginia Lee Barnes,Biography & Autobiography,http://books.google.com/books/content?id=YUiPy-MH1AMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Recounts the experiences of a girl growing up in Somalia during the fifties and sixties and offers a personal look at Somali culture,1994.0,3.76,368.0,532.0,"rgb(10, 13, 10)"
9780679762652,0679762655,Thousand Cranes,,川端康成,Fiction,http://books.google.com/books/content?id=HG4DuQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When Kikuji is invited to attend a tea ceremony, he is unaware that Chikako has arranged for him to view a prospective bride.",1959.0,3.76,147.0,5900.0,"rgb(242, 229, 217)"
9780679762690,0679762698,Encore Provence,New Adventures in the South of France,Peter Mayle,Travel,http://books.google.com/books/content?id=_2llP4TemxMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The author continues his celebration of Provence in a new collection of culinary delights, profiles of colorful Gallic characters, and personal observations",2000.0,4.0,240.0,9805.0,"rgb(234, 223, 197)"
9780679762706,0679762701,Art & Lies,A Piece for Three Voices and a Bawd,Jeanette Winterson,Fiction,http://books.google.com/books/content?id=0K-vmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"On a high-speed train hurtling through the near future, three passengers come together--Handel, an ex-priest-turned-surgeon whose humanity is sacrificed to intellect; Picasso, an outcast woman comforted only by her painting; and Sappho, the lesbian poet. Reprint. 25,000 first printing.",1996.0,3.87,240.0,3407.0,"rgb(27, 21, 16)"
