isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,dominant_color,category_group
9781841882543,1841882542,The Science Book,,Peter Tallack,Science,http://books.google.com/books/content?id=iw73HE2cmRkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This chronology of scientific discoveries and achievements spans from 35,000 BC (""Origins of counting"") to 2000 (""Human genome sequence).",2006.0,4.05,528.0,23.0,"rgb(163, 170, 172)",Non-Fiction
9781841957173,1841957178,The Penelopiad,,Margaret Atwood,Fiction,http://books.google.com/books/content?id=HbkV_EmCn60C&printsec=frontcover&img=1&zoom=1&source=gbs_api,A look at the Odyssey from Penelope's point of view.,2005.0,3.69,198.0,26779.0,"rgb(84, 103, 112)",Fiction
9781842122914,1842122916,Never Call Retreat,,Bruce Catton;Everette Beach Long,History,http://books.google.com/books/content?id=mZ0rHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""...one of the great historical accomplishments of our time...will have an enduring place in our national records.""--New York Times.",2001.0,4.33,558.0,1485.0,"rgb(217, 209, 202)",Non-Fiction
9781842122921,1842122924,The Coming Fury,,Bruce Catton;Everette Beach Long,History,http://books.google.com/books/content?id=NjORQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Chronicles the history of the American Civil War, starting with the Democratic Party's Charleston Convention in 1860, and ending with first battle of the war at Bull Run.",2001.0,4.29,568.0,2055.0,"rgb(103, 85, 92)",Non-Fiction
9781842122938,1842122932,Terrible Swift Sword,,Bruce Catton,History,http://books.google.com/books/content?id=NthXAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The second episode in this award-winning trilogy impressively shows how the Union and Confederacy, slowly and inexorably, reconciled themselves to an all-out war--an epic struggle for freedom.",2001.0,4.35,558.0,1382.0,"rgb(102, 81, 76)",Non-Fiction
9781842931530,1842931539,Beowulf & Grendel,The Truth Behind England's Oldest Myth,John Grigsby,History,http://books.google.com/books/content?id=yQPXAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,The author of Heaven's Mirror and The Mars Mystery presents evidence that the legend of Beowulf originated in an ancient human sacrifice ritual that was suppressed in Britain and later found expression in this compelling tale. Original.,2005.0,3.57,246.0,47.0,"rgb(34, 79, 161)",Non-Fiction
9781842931851,1842931857,Mysteries,"An Investigation Into the Occult, the Paranormal and the Supernatural",Colin Wilson,"Body, Mind & Spirit",http://books.google.com/books/content?id=LiHQIYR2MwAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Through his own cathartic experiences, Colin Wilson discovered that human beings consist of a ladder or hierarchy of selves, whose upper members may be called on at will for personal transformation and deep knowledge. ""Mysteries"" attempts to explain all paranormal phenomena -- from precognition to Uri Geller's spoon bending -- in terms of this theory. Included are detailed studies of haunting, possession, and "" demonic hypnosis, "" and also of magic, the Kabbalah, and astrology. At the heart of the book is a fascinating chapter on the "" Great Secret"" of the alchemists, which Wilson sees as the key to the mystery of the "" ladder of selves.""",2006.0,4.08,672.0,348.0,"rgb(238, 236, 232)",Guides
9781843103318,1843103311,Laughter and Tears,A Family's Journey to Understanding the Autism Spectrum,Ann Hewetson,Psychology,http://books.google.com/books/content?id=0uYPBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Laughter and Tears follows the life story of Mark, a young man with autism, from birth to the age of 30, and is interwoven with observations of the history of autism as it unfolds from its first diagnosis in 1943 to the present day.",2005.0,4.0,224.0,4.0,"rgb(114, 107, 73)",Non-Fiction
9781843534099,1843534096,Cuba,,Fiona McAuslan;Matthew Norman,Travel,http://books.google.com/books/content?id=ggOlMQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""The Rough Guide to Cuba is the ultimate guidebook to the Caribbean's most exciting destination. Features include: Full-colour section including Cuba's highlights; Detailed accounts of every attraction, from the resort of Varadero and the unspoiled Vinales valley to the vibrant and accessible capital city of Havana. Informed reviews of the best places to eat, drink and stay, for every taste and budget. Expert coverage of Cuba's enthralling culture and history, plus how to experience the island's dynamic music scene first-hand. Practical advice for dealing with transport, currency and bureaucracy. Maps and plans for every region."" -- Back cover.",2005.0,3.78,640.0,7.0,"rgb(114, 148, 174)",Arts & Leisure Time
9781843536161,1843536161,The Rough Guide to Vietnam,,Jan Dodd;Mark Lewis;Ron Emmons,Travel,http://books.google.com/books/content?id=CoGAPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A travel guidebook to Vietnam. Recommends accommodations, restaurants and attractions for various budgets.",2006.0,3.89,639.0,34.0,"rgb(76, 58, 64)",Arts & Leisure Time
9781843537205,1843537206,The Rough Guide to the Beatles,,Chris Ingham,Biography & Autobiography,http://books.google.com/books/content?id=HWE8AQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Beatles are the ultimate band – the most popular, the most respected, the most influential. This new edition of The Rough Guide to the Beatles covers every aspect of the Fab Four, delving deep into the music, lyrics, movies and solo careers. Features include: The Story: from Liverpool clubs to Beatlemania. The Music: incisive reviews of every Beatles and solo album. The Canon: the inside track on the 50 greatest songs. On Screen: the movies, the promos and the TV appearances. The Fifth Beatle: George Martin, Yoko Ono, Magic Alex and other contenders. Beatleology: the best books, the weirdest covers, the most obsessive websites, the obscurest trivia.",2006.0,3.87,325.0,46.0,"rgb(28, 24, 27)",Non-Fiction
9781843607403,1843607409,Primal Heat,,Sherri L. King;Lorie O'Clare;Jaci Burton;Lora Leigh,Fiction,http://books.google.com/books/content?id=kvG2tAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Moonlust: ""During Brianna's trip to the Ural Mountains of Russia, a life-threatening accident places her at the mercy of a strange, reclusive man. A man whose secrets and unquenchable hunger will change her life forever...""--Publisher description.",2004.0,4.12,196.0,3524.0,"rgb(176, 177, 208)",Fiction
9781843914112,1843914115,The Fatal Eggs,,Mikhail Bulgakov;Hugh Aplin,Fiction,http://books.google.com/books/content?id=qzJuPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An inspired work of science fiction and a biting political allegory, Bulgakov'sThe Fatal Eggstells of a brilliant scientist whose experiments with life spiral terribly—and fatefully—out of control. Quite by chance, Professor Persikov discovers a new form of light ray whose effect, when directed at living cells, is to accelerate growth in primitive organisms. But when this ray is shone on the wrong batch of eggs, the Professor finds himself both the unwilling creator of giant hybrids and the focus of a merciless press campaign. For it seems the propaganda machine has turned its gaze upon him, distorting his nature in the very way his “innocent” tampering created the monster snakes and crocodiles that now terrorize the neighborhood. Russian novelist and dramatist Mikhail Bulgakov is one of the foremost satirists of the 20th century.",2005.0,3.79,104.0,4669.0,"rgb(90, 125, 60)",Fiction
9781844151455,184415145X,Red Road From Stalingrad,Recollections of a Soviet Infantryman,Mansur Abdulin,History,http://books.google.com/books/content?id=adaXAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Mansur Abdulin fought in the front ranks of the Soviet infantry against the German invaders at Stalingrad, Kursk and on the banks of the Dnieper. This is his extraordinary story. His vivid inside view of a ruthless war on the Eastern Front gives a rare insight into the reality of the fighting and into the tactics and mentality of the Soviet army. In his own words, and with a remarkable clarity of recall, he describes what combat was like on the ground, face to face with a skilled, deadly and increasingly desperate enemy.",1990.0,4.12,195.0,74.0,"rgb(81, 54, 57)",Non-Fiction
9781844350483,1844350487,Doctor Who Short Trips: Repercussions,,Gary Russell,Fiction,http://books.google.com/books/content?id=EJFdOAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Doctor Who Short Trips is a series of themed short story anthologies of new Doctor Who fiction, featuring the Doctor in all of his first eight incarnations. They feature stories written by some of the leading names in Doctor Who, past and present, including Paul Cornell, Gareth Roberts, Christopher H. Bidmead, and Paul Magrs. Repercussions features 16 tales set on a strange airship taking its passengers on a trip to who-knows-where. Among the people aboard is young adventuress Charley Pollard, just a few weeks into her life aboard the TARDIS alongside the Eighth Doctor, a man whose past she knows frighteningly little about. She encounters a diplomat trying to stop a war, a young man seemingly murdered by the Doctor, a tramp, a seismologist, and a republican trying to save the life of his plague-stricken daughter. One thing they all have in common: an encounter with a strange alien visitor who seemed to help them, but perhaps should have left them alone.",2004.0,3.38,246.0,42.0,"rgb(97, 118, 124)",Fiction
9781844580514,1844580512,Attack of the Jaguar,,M. A. Harvey,Juvenile Fiction,http://books.google.com/books/content?id=3HUdt6w9XVAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This training manual for operatives of Xtreme Adventures Inc., tells the story of Simon, a teenager who finds himself alone in the depths of the Amazon, where he must rescue his parents and survive the dangers of the jungle.",2004.0,3.4,125.0,4.0,"rgb(173, 194, 208)",Fiction
9781844670222,1844670228,Planet of Slums,,Mike Davis,Political Science,http://books.google.com/books/content?id=FToaDLPB2jAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"An exploration of modern-world urbanization cites a concerning rise in slum life that currently accounts for nearly one-fifth of the world's population, arguing that urban populations are disconnected and exempt from the formal world economy and may represent an explosive convergence of ethnic, religious, and political unrest.",2006.0,3.91,228.0,1652.0,"rgb(171, 136, 86)",Non-Fiction
9781844670536,1844670538,Le Système Des Objets,,Jean Baudrillard,Philosophy,http://books.google.com/books/content?id=0T3-3Ce5VocC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Pressing Freudian and Saussurean categories into the service of a basically Marxist perspective, The System of Objects offersa cultural critique of the commodity in consumer society. Baudrillardclassifies the everyday objects of the ""new technical order"" asfunctional, nonfunctional and metafunctional. He contrasts ""modern"" and""traditional"" functional objects, subjecting home furnishing andinterior design to a celebrated semiological analysis. His treatment ofnonfunctional or ""marginal"" objects focuses on antiques and thepsychology of collecting, while the metafunctional category extends tothe useless, the aberrant and even the ""schizofunctional."" Finally,Baudrillard deals at length with the implications of credit andadvertising for the commodification of everyday life. The System of Objectsis a tour de force of the materialist semiotics of the earlyBaudrillard, who emerges in retrospect as something of a lightning rodfor all the live ideas of the day: Bataille's political economy of""expenditure"" and Mauss's theory of the gift; Reisman's lonely crowdand the ""technological society"" of Jacques Ellul; the structuralism ofRoland Barthes in The System of Fashion; Henri Lefebvre's workon the social construction of space; and last, but not least, GuyDebord's situationist critique of the spectacle.",2005.0,4.0,224.0,957.0,"rgb(199, 154, 114)",Non-Fiction
